201601	179.93
201602	131.92
201603	222.56
201604	182.44
201605	200.41
201606	143.58
201607	185.63
201608	66.67
201609	119.33
201610	174.44
201611	256.15
201612	250.21
201701	194.52
201702	137.06
201703	174.73
201704	274.47
201705	157.32
201706	370.18
201707	274.78
201708	120.59
201709	157.89
201710	206.53
201711	96.63
201712	282.65
201801	144.47
201802	152.43
201803	190.62
201804	248.88
201805	158.39
201806	176.2
201807	167.15
201808	115.29
201809	173.22
201810	217.67
201811	184.74
201812	220.09
201901	173.09
201902	196.26
201903	122.9
201904	230.5
201905	230.66
201906	217.89
201907	108.2
201908	170.93
201909	137
201910	114.12
201911	140.53
201912	97.02
202001	108.09
202002	91.74
202003	87.97
202004	108.19
202005	116.23
202006	114.34
202007	148.93
202008	171.31
